plWordNet ID,lemma,phrase,N,VAL M,ARO M,ANG M,DIS M,FEA M,SAD M,ANT M,HAP M,SUR M,TRU M,VAL SD,ARO SD,ANG SD,DIS SD,FEA SD,SAD SD,ANT SD,HAP SD,SUR SD,TRU SD,ANG D,DIS D,FEA D,SAD D,ANT D,HAP D,SUR D,TRU D,NEU D,classification
100097,zajawka,zajawka filmu,52,0.923076923076923,1.51923076923077,0.423076923076923,0.346153846153846,0.442307692307692,0.442307692307692,1.88461538461538,1.42307692307692,1.05769230769231,0.788461538461538,1.18563549347115,1.07540023767505,0.750062843018251,0.682688324505619,0.80228745370412,0.916375245051714,1.32330314808038,1.21018802373447,1.14469726348835,0.935918097253287,5.18062088685894,5.23424953260128,5.16792928207377,5.19447972290816,3.87381376704755,4.35618354559508,4.71480632473062,4.91246631980535,3.35029246343814,ANT
10010,wonny,wonny olejek,52,1.15384615384615,1.51923076923077,0.326923076923077,0.288461538461538,0.269230769230769,0.288461538461538,1.26923076923077,1.59615384615385,0.961538461538462,1.07692307692308,1.03629459405672,1.09348130183651,0.856833061878218,0.666760928479321,0.68928450016807,0.775521038299185,1.2225878149684,1.17589540992512,1.11955065323476,1.2810252304407,5.16027836550318,5.18080508369055,5.1978231958997,5.18966036636857,4.32597340564473,3.9597100017469,4.63737256975455,4.56260902798746,3.10497520730022,HAP
10027,wprawny,wprawny ruch,56,1.08928571428571,1.30357142857143,0.267857142857143,0.267857142857143,0.303571428571429,0.25,1.19642857142857,1.19642857142857,0.678571428571429,1.16071428571429,0.9959332893739,1.15867703331535,0.725911876158568,0.725911876158568,0.760852222114192,0.719848468902878,1.21235522632816,1.18198050833249,0.833549755446665,1.37214875570844,4.97998250130335,4.97422378232077,4.94950472605383,4.99042414080326,4.14667180332257,4.18741346525989,4.58990338516643,4.20747262725181,2.73188113221548,TRU
100288,kopia,kopia zapasowa,48,0.916666666666667,1.02083333333333,0.291666666666667,0.3125,0.416666666666667,0.354166666666667,1.22916666666667,0.895833333333333,0.395833333333333,1.27083333333333,1.04847068635315,1.24609318550033,0.713347915274833,0.803085803952877,0.846352206080653,0.862692058994681,1.32471728550843,1.25883403217715,0.961815290210272,1.42529703262361,5.01651814639793,4.99984145680847,4.92998924720183,4.97342018159838,4.19659015903944,4.55603816763537,4.96609556515371,4.12506825767858,2.69677085956943,TRU
100381,wombat,wombat wombata,47,0.340425531914894,0.787234042553192,0.425531914893617,0.468085106382979,0.531914893617021,0.382978723404255,0.595744680851064,0.723404255319149,0.74468085106383,0.51063829787234,0.787858841491646,1.06191316710364,0.853246507300303,0.905323959066761,0.952138641480034,0.767638713972686,0.947756492026097,1.13639643380473,1.16969124700538,0.905834720156231,4.61035885742292,4.57995827809717,4.52522536716789,4.62461314530665,4.45369893924012,4.29751829402049,4.26713782450451,4.53147114301294,1.87573890903964,NEU
100423,pułkownik,dyplomowany pułkownik,46,0.630434782608696,1.1304347826087,0.173913043478261,0.239130434782609,0.434782608695652,0.195652173913043,0.804347826086957,0.608695652173913,0.478260869565217,1.06521739130435,1.16158312759735,1.20385853085769,0.529332822253614,0.565087313162828,0.834057656228299,0.581934139740202,1.22237592358109,0.977030896123903,0.912606290546966,1.30643150797283,4.72635673940799,4.67725758645266,4.52161335367745,4.71848106300322,4.23464211431101,4.39844021368521,4.51503886316672,3.91580641335298,2.04237017358804,TRU
100433,kompleksja,sucha kompleksja,54,0.222222222222222,0.981481481481482,0.462962962962963,0.462962962962963,0.611111111111111,0.703703703703704,0.62962962962963,0.592592592592593,0.777777777777778,0.592592592592593,1.07574750959624,1.22074429416077,0.719354085613732,0.745121566957884,0.898986151522331,0.98344081422339,0.807892583376857,0.858223670509815,1.05806278421742,0.901121283033837,4.5333490654573,4.5350142557004,4.42052606827455,4.32963511013096,4.36830337292733,4.43533189336344,4.20420228926637,4.43834688653633,2.02760581485026,SUR
100529,pulsar,pulsar systemu,51,0.333333333333333,0.96078431372549,0.431372549019608,0.411764705882353,0.490196078431373,0.490196078431373,0.725490196078431,0.607843137254902,0.705882352941177,0.666666666666667,1.03279555898864,1.18255290475692,0.830780403254297,0.779139797166986,0.902719203730769,0.857264230435584,0.939753826755689,0.918225056781811,0.944332942283786,1.10754984838908,4.56408561494482,4.57895377701058,4.50504732263607,4.52163069396505,4.27362103438682,4.41730739800984,4.3399794578414,4.39557032424056,1.92899888917491,NEU
100580,owłosienie,owłosienie łonowe,55,-0.181818181818182,1.14545454545455,0.636363636363636,1.01818181818182,0.381818181818182,0.4,0.636363636363636,0.8,0.818181818181818,0.545454545454545,1.52862694490851,1.33912881877211,1.1116160468841,1.34013417087977,0.849638465398973,0.760116950066092,1.1444493478369,1.32497379429012,1.23364724369875,1.0150384378451,4.80597383706978,4.38071047781126,4.99124436073088,4.98486617928066,4.79592960397655,4.68207615421745,4.66754361912957,4.8492053153842,2.72793648707591,DIS
100605,bratek,młody bratek,51,1.17647058823529,1.27450980392157,0.411764705882353,0.431372549019608,0.411764705882353,0.372549019607843,1.09803921568627,1.70588235294118,0.725490196078431,1.03921568627451,1.1437811390811,1.25025487597608,1.0232589230148,1.02479074860743,0.983391490470307,0.893549871327292,1.34543527470903,1.33107652142255,1.13275648526149,1.41365886003272,5.22342987590597,5.20408444051774,5.22593936122986,5.248172204755,4.68862318421663,3.94980497416249,4.97804075187729,4.76653116861732,3.05869978298881,HAP
